,thr,dist_pos,k_pos,n_pos,dist_neg,k_neg,n_neg
101,0.2219999999999998,0.0031644360820993877,2912,2965,0.008813723425509724,717,739
102,0.2239999999999998,0.0029899903205457923,2991,3046,0.009117522953319256,740,763
103,0.2259999999999998,0.0018049303512224402,3187,3250,0.01005904296031417,751,775
104,0.22799999999999981,0.0016762560049161674,3218,3282,0.009617084561154572,758,782
105,0.22999999999999982,0.0016472231687285383,3262,3327,0.00891376952862541,789,813
106,0.23199999999999982,0.0016470451554860385,3313,3379,0.00888022806683339,816,841
107,0.23399999999999982,0.0017486829629045852,3429,3497,0.007762733122266617,854,879
108,0.2359999999999998,0.0019018720151205602,3473,3541,0.008200423809274696,870,896
109,0.2379999999999998,0.0019388315082703644,3516,3585,0.009449733614502569,891,919
110,0.2399999999999998,0.0019486287972269515,3533,3602,0.008826706415897516,919,947
111,0.2419999999999998,0.0018874166462023686,3567,3637,0.010109936748616884,932,962
112,0.2439999999999998,0.002073376035747742,3606,3676,0.010463550878171838,955,986
113,0.2459999999999998,0.002067607854801258,3648,3719,0.009744782186704881,970,1001
114,0.2479999999999998,0.002208252366622861,3679,3750,0.00908731697097357,993,1024
115,0.2499999999999998,0.002145320559642418,3732,3804,0.010912715157052548,1028,1062
116,0.25199999999999984,0.0023412260348271126,3823,3896,0.012676791324353629,1062,1099
117,0.2539999999999998,0.0022225425103763806,3902,3977,0.012812903981279768,1085,1123
118,0.2559999999999998,0.0019501467096504459,3939,4016,0.012558823021782338,1116,1155
119,0.2579999999999998,0.0021330546719079834,3986,4063,0.01117290670848499,1154,1193
120,0.2599999999999998,0.0024966012152637966,4058,4135,0.011243976991882927,1173,1212
121,0.2619999999999998,0.0023307897156832477,4126,4205,0.010610006142602203,1196,1235
122,0.2639999999999998,0.0023894617398028395,4244,4325,0.011470714216003488,1226,1267
123,0.2659999999999998,0.002194754162131016,4302,4385,0.010708300428597176,1252,1293
124,0.2679999999999998,0.002443208594680209,4362,4445,0.009825398082533496,1295,1336
125,0.2699999999999998,0.0028907452910549645,4565,4650,0.009079688043484243,1360,1402
126,0.2719999999999998,0.0024147663070061462,4614,4702,0.00855652295334262,1381,1423
127,0.2739999999999998,0.0026685883810792,4672,4760,0.00878100840457018,1405,1448
128,0.2759999999999998,0.002557635529592106,4751,4841,0.009547820013109247,1435,1480
129,0.2779999999999998,0.002622456984627548,4870,4962,0.009733621461908627,1455,1501
130,0.2799999999999998,0.0028437652041392015,5029,5123,0.008738571519050645,1536,1583
131,0.2819999999999998,0.0022502619275104867,5087,5185,0.00957252285393762,1560,1609
