,s,survival F
118,119.5,0.001216823352770402
119,120.5,0.0012032599565736657
120,121.5,0.0011899489231478322
121,122.5,0.0011768835374793563
122,123.5,0.0011640573160979217
123,124.5,0.0011514639972989293
124,125.5,0.0011390975318532615
125,126.5,0.0011269520741767902
126,127.5,0.0011150219739325395
127,128.5,0.0011033017680427415
128,129.5,0.001091786173085807
129,130.5,0.0010804700780586707
130,131.5,0.0010693485374827505
131,132.5,0.0010584167648358678
132,133.5,0.001047670126292033
133,134.5,0.0010371041347522203
134,135.5,0.0010267144441507003
135,136.5,0.0010164968440229405
136,137.5,0.0010064472543198644
137,138.5,0.0009965617204570343
138,139.5,0.0009868364085855452
139,140.5,0.0009772676010737502
140,141.5,0.0009678516921886038
141,142.5,0.0009585851839667425
142,143.5,0.0009494646822655328
143,144.5,0.0009404868929850929
144,145.5,0.0009316486184530737
145,146.5,0.0009229467539632052
146,147.5,0.0009143782844616144
147,148.5,0.0009059402813719197
148,149.5,0.0008976298995535537
149,150.5,0.0008894443743868718
150,151.5,0.0008813810189779447
151,152.5,0.0008734372214785902
152,153.5,0.0008656104425157629
153,154.5,0.0008578982127244172
154,155.5,0.0008502981303802892
155,156.5,0.0008428078591269372
156,157.5,0.0008354251257932654
157,158.5,0.0008281477182974228
158,159.5,0.0008209734836324145
159,160.5,0.0008139003259306499
160,161.5,0.0008069262046034309
161,162.5,0.0008000491325518277
162,163.5,0.0007932671744466102
163,164.5,0.0007865784450729052
164,165.5,0.0007799811077379148
165,166.5,0.0007734733727384757
166,167.5,0.0007670534958855724
167,168.5,0.000760719777083918
168,169.5,0.0007544705589638268
169,170.5,0.0007483042255634897
170,171.5,0.0007422192010592132
171,172.5,0.0007362139485415087
172,173.5,0.0007302869688357028
173,174.5,0.0007244367993648471
174,175.5,0.0007186620130527066
175,176.5,0.0007129612172660504
176,177.5,0.0007073330527943567
177,178.5,0.0007017761928648225
178,179.5,0.0006962893421920135
179,180.5,0.0006908712360605973
180,181.5,0.0006855206394392743
181,182.5,0.0006802363461254624
182,183.5,0.0006750171779190683
183,184.5,0.0006698619838243491
184,185.5,0.0006647696392783065
185,186.5,0.0006597390454056162
186,187.5,0.0006547691282978718
187,188.5,0.0006498588383171411
188,189.5,0.0006450071494221721
189,190.5,0.0006402130585170251
190,191.5,0.0006354755848209104
191,192.5,0.0006307937692584531
192,193.5,0.0006261666738698324
193,194.5,0.0006215933812395713
194,195.5,0.000617072993944201
195,196.5,0.000612604634016578
196,197.5,0.0006081874424284095
197,198.5,0.000603820578587988
198,199.5,0.0005995032198542471
199,200.5,0.000595234561065805
200,201.5,0.0005910138140849952
201,202.5,0.0005868402073553325
202,203.5,0.0005827129854732993
203,204.5,0.0005786314087724564
204,205.5,0.0005745947529210982
205,206.5,0.0005706023085313428
206,207.5,0.0005666533807806573
207,208.5,0.000562747289044041
208,209.5,0.0005588833665379767
209,210.5,0.0005550609599741518
210,211.5,0.0005512794292241718
211,212.5,0.0005475381469938201
212,213.5,0.0005438364985065336
213,214.5,0.0005401738811968704
214,215.5,0.0005365497044123035
215,216.5,0.0005329633891235641
216,217.5,0.0005294143676439766
217,218.5,0.0005259020833561223
218,219.5,0.0005224259904467177
219,220.5,0.0005189855536487098
220,221.5,0.0005155802479909211
221,222.5,0.0005122095585547992
222,223.5,0.0005088729802377179
223,224.5,0.0005055700175229383
224,225.5,0.0005023001842561214
225,226.5,0.0004990630034277244
226,227.5,0.0004958580069618357
227,228.5,0.0004926847355102293
228,229.5,0.0004895427382525241
229,230.5,0.00048643157270156223
230,231.5,0.00048335080451389345
231,232.5,0.0004803000073058117
232,233.5,0.0004772787624737207
233,234.5,0.0004742866590200512
234,235.5,0.0004713232933828415
235,236.5,0.0004683882692707586
236,237.5,0.00046548119750189354
237,238.5,0.00046260169584699806
238,239.5,0.0004597493888767179
239,240.5,0.00045692390781304493
240,241.5,0.000454124890384322
241,242.5,0.0004513519806840227
242,243.5,0.0004486048290334166
243,244.5,0.00044588309184756536
244,245.5,0.0004431864315044276
245,246.5,0.00044051451621818227
246,247.5,0.0004378670199146617
247,248.5,0.0004352436221107814
248,249.5,0.00043264400779652323
249,250.5,0.00043006786732002755
250,251.5,0.00042751489627546047
251,252.5,0.000424984795393879
252,253.5,0.0004224772704364277
253,254.5,0.0004199920320906436
254,255.5,0.0004175287958686491
255,256.5,0.0004150872820085638
256,257.5,0.0004126672153778044
257,258.5,0.0004102683253789374
258,259.5,0.00040789034585753114
259,260.5,0.00040553301501278227
260,261.5,0.0004031960753096975
