,s,survival F
127,128.5,0.003968380733838428
128,129.5,0.003933424827272103
129,130.5,0.0038990073964237926
130,131.5,0.0038651161148695046
131,132.5,0.0038317390292463838
132,133.5,0.003798864545252245
133,134.5,0.003766481414270939
134,135.5,0.0037345787205904646
135,136.5,0.00370314586918441
136,137.5,0.003672172574026966
137,138.5,0.003641648846915535
138,139.5,0.003611564986774174
139,140.5,0.0035819115694152304
140,141.5,0.0035526794377355175
141,142.5,0.003523859692326048
142,143.5,0.003495443682475008
143,144.5,0.0034674229975451
144,145.5,0.00343978945870671
145,146.5,0.003412535111010473
146,147.5,0.0033856522157830193
147,148.5,0.003359133243329926
148,149.5,0.0033329708659325386
149,150.5,0.003307157951124129
150,151.5,0.0032816875552331704
151,152.5,0.003256552917180411
152,153.5,0.003231747452519529
153,154.5,0.00320726474770916
154,155.5,0.0031830985546066337
155,156.5,0.0031592427851726557
156,157.5,0.0031356915063787127
157,158.5,0.0031124389353071047
158,159.5,0.0030894794344354937
159,160.5,0.0030668075070987566
160,161.5,0.0030444177931189254
161,162.5,0.0030223050645972194
162,163.5,0.0030004642218605104
163,164.5,0.002978890289556002
164,165.5,0.0029575784128876847
165,166.5,0.002936523853988904
166,167.5,0.002915721988424491
167,168.5,0.0028951683018183516
168,169.5,0.0028748583866000654
169,170.5,0.00285478793886651
170,171.5,0.0028349527553532816
171,172.5,0.002815348730511813
172,173.5,0.0027959718536875178
173,174.5,0.002776818206395304
174,175.5,0.0027578839596883453
175,176.5,0.0027391653716164477
176,177.5,0.0027206587847704577
177,178.5,0.0027023606239091613
178,179.5,0.0026842673936662287
179,180.5,0.002666375676332655
180,181.5,0.0026486821297134755
181,182.5,0.0026311834850544225
182,183.5,0.002613876545036864
183,184.5,0.0025967581818380214
184,185.5,0.0025798253352536937
185,186.5,0.0025630750108819322
186,187.5,0.0025465042783648917
187,188.5,0.002530110269686192
188,189.5,0.002513890177522904
189,190.5,0.002497841253649491
190,191.5,0.0024819608073912702
191,192.5,0.002466246204126721
192,193.5,0.0024506948638362003
193,194.5,0.0024353042596952923
194,195.5,0.0024200719167117857
195,196.5,0.002404995410403732
196,197.5,0.0023900723655184697
197,198.5,0.0023753004547897305
198,199.5,0.0023606773977328244
199,200.5,0.002346200959475575
200,201.5,0.0023318689496238942
201,202.5,0.0023176792211616615
202,203.5,0.0023036296693825786
203,204.5,0.0022897182308536657
204,205.5,0.0022759428824090655
205,206.5,0.0022623016401728258
206,207.5,0.002248792558610435
207,208.5,0.0022354137296074494
208,209.5,0.0022221632815744297
209,210.5,0.0022090393785778595
210,211.5,0.0021960402194952655
211,212.5,0.0021831640371945404
212,213.5,0.002170409097736359
213,214.5,0.0021577736995987973
214,215.5,0.002145256172923715
215,216.5,0.0021328548787838963
216,217.5,0.002120568208470619
217,218.5,0.0021083945828006545
218,219.5,0.002096332451442584
219,220.5,0.002084380292260768
220,221.5,0.0020725366106780774
221,222.5,0.002060799939055058
222,223.5,0.0020491688360859683
223,224.5,0.002037641886211361
224,225.5,0.0020262176990458736
225,226.5,0.002014894908821452
226,227.5,0.002003672173845117
227,228.5,0.001992548175971054
228,229.5,0.0019815216200866903
229,230.5,0.0019705912336120956
230,231.5,0.001959755766012039
231,232.5,0.0019490139883210356
232,233.5,0.0019383646926807163
233,234.5,0.0019278066918887449
234,235.5,0.00191733881895928
235,236.5,0.0019069599266947623
236,237.5,0.0018966688872684712
237,238.5,0.001886464591817516
238,239.5,0.0018763459500463764
239,240.5,0.0018663118898397668
240,241.5,0.0018563613568856052
241,242.5,0.001846493314307196
242,243.5,0.001836706742304517
243,244.5,0.001827000637804277
244,245.5,0.0018173740141184114
245,246.5,0.0018078259006112374
246,247.5,0.0017983553423743803
247,248.5,0.0017889613999096943
248,249.5,0.0017796431488198428
249,250.5,0.0017703996795062071
250,251.5,0.0017612300968742334
251,252.5,0.0017521335200454402
252,253.5,0.0017431090820765327
253,254.5,0.0017341559296851772
254,255.5,0.0017252732229817713
255,256.5,0.0017164601352082087
256,257.5,0.0017077158524821945
257,258.5,0.0016990395735478891
258,259.5,0.0016904305095316596
259,260.5,0.0016818878837044915
260,261.5,0.0016734109312490641
261,262.5,0.0016649988990321551
262,263.5,0.0016566510453828176
263,264.5,0.0016483666398752206
264,265.5,0.0016401449631162635
265,266.5,0.0016319853065381862
266,267.5,0.0016238869721960647
267,268.5,0.001615849272569303
268,269.5,0.0016078715303678992
269,270.5,0.0015999530783430416
270,271.5,0.0015920932591018122
271,272.5,0.0015842914249258877
272,273.5,0.0015765469375942365
273,274.5,0.001568859168209924
274,275.5,0.0015612274970305817
275,276.5,0.0015536513133023178
276,277.5,0.0015461300150976243
277,278.5,0.0015386630091565046
278,279.5,0.0015312497107310419
279,280.5,0.001523889543433521
280,281.5,0.0015165819390875468
281,282.5,0.001509326337582273
282,283.5,0.0015021221867301815
283,284.5,0.001494968942127084
284,285.5,0.0014878660670161192
285,286.5,0.0014808130321534163
286,287.5,0.0014738093156776433
287,288.5,0.0014668544029814434
288,289.5,0.001459947786586202
289,290.5,0.0014530889660189228
290,291.5,0.0014462774476917684
291,292.5,0.001439512744784155
292,293.5,0.0014327943771273999
293,294.5,0.0014261218710914791
294,295.5,0.0014194947594738938
295,296.5,0.0014129125813914234
296,297.5,0.0014063748821734334
297,298.5,0.0013998812132578475
298,299.5,0.0013934311320887849
299,300.5,0.001387024202016418
300,301.5,0.0013806599921989404
301,302.5,0.0013743380775061986
302,303.5,0.0013680580384256569
303,304.5,0.0013618194609695822
304,305.5,0.0013556219365848943
305,306.5,0.0013494650620640147
306,307.5,0.0013433484394577144
307,308.5,0.0013372716759900705
308,309.5,0.0013312343839743113
309,310.5,0.0013252361807309931
310,311.5,0.001319276688507287
311,312.5,0.0013133555343981529
312,313.5,0.0013074723502687347
313,314.5,0.0013016267726783104
314,315.5,0.0012958184428059072
315,316.5,0.0012900470063771374
316,317.5,0.0012843121135922564
317,318.5,0.0012786134190561071
318,319.5,0.0012729505817087317
319,320.5,0.0012673232647578692
320,321.5,0.0012617311356122318
321,322.5,0.0012561738658163346
322,323.5,0.0012506511309864354
323,324.5,0.0012451626107476965
324,325.5,0.001239707988672345
325,326.5,0.0012342869522192768
326,327.5,0.0012288991926745485
327,328.5,0.00122354440509298
328,329.5,0.0012182222882407556
329,330.5,0.001212932544539247
330,331.5,0.0012076748800099457
331,332.5,0.001202449004219841
332,333.5,0.0011972546302284615
333,334.5,0.0011920914745354727
334,335.5,0.0011869592570292742
335,336.5,0.001181857700936484
336,337.5,0.0011767865327724225
337,338.5,0.0011717454822927076
338,339.5,0.001166734282444848
339,340.5,0.001161752669321947
340,341.5,0.0011568003821160744
341,342.5,0.0011518771630729674
342,343.5,0.0011469827574478453
343,344.5,0.001142116913461222
344,345.5,0.0011372793822562732
345,346.5,0.0011324699178562048
