up,dn,Average Experimental Interactions ($\pi^\alpha$),Average Published Claims ($\hat\mu^\alpha$)
3558,3565,0.736323974142144,0.8709677419354839
3558,3718,0.4273738898877485,1.0
7124,7422,0.5913905236384366,1.0
7157,1647,0.2867989333646312,1.0
3558,7124,0.3613220656506199,0.9310344827586207
3565,920,0.7497533194998858,0.8695652173913043
3565,959,0.7052156283462071,0.8421052631578947
3565,2208,0.5730527547472077,0.9622641509433962
3565,3458,0.551873418436674,0.6307692307692307
3565,3553,0.625263294553812,0.16666666666666666
3565,3558,0.4992649208770183,0.3157894736842105
3565,3565,0.5486585465243845,0.7727272727272727
3565,3569,0.6370070994890977,0.6129032258064516
3565,3586,0.6514666346313921,0.7142857142857143
3565,6356,0.574017751322745,1.0
3565,6778,0.30647049994896236,0.9841269841269841
3565,7124,0.6418833177800717,0.5142857142857142
3565,51497,0.4201897523196746,0.5
3586,920,0.34068083746364075,0.5454545454545454
3586,3458,0.49963244202380785,0.4230769230769231
3586,3553,0.40726546266123154,0.3076923076923077
3586,3558,0.45811263199794217,0.4166666666666667
3630,3630,0.7085971725900041,0.4166666666666667
3586,3565,0.37960995872848813,0.7857142857142857
6774,3569,0.4422357515585528,0.7857142857142857
3586,3569,0.5299761236257716,0.5333333333333333
3586,3586,0.3736260909522119,0.6190476190476191
3586,7124,0.30475690384601983,0.3013698630136986
3586,51497,0.41767072133430583,0.35294117647058826
3596,7124,0.48625357220362775,0.15384615384615385
3606,3458,0.6178394674531725,0.9285714285714286
3606,51497,0.38642145392860583,0.8888888888888888
3827,3827,0.5185612019031709,0.3
3930,3458,0.45854065323101995,1.0
7124,6098,0.8793895775591518,1.0
3930,3558,0.53891832410053,0.9655172413793104
3930,3565,0.4357152716435063,1.0
7039,1956,0.45187036977533657,1.0
7124,5054,0.6606791058040888,1.0
3930,3569,0.5265603018810515,1.0
7422,4846,0.5181926982047657,1.0
4194,7157,0.4587028561466262,0.5263157894736842
4323,4313,0.2936493432133582,0.9333333333333333
4790,3383,0.5807981086833491,0.8181818181818182
7249,2475,0.6537672180664296,0.8181818181818182
4790,3569,0.5061406745737395,0.8928571428571429
4790,4790,0.33105802213850544,0.65
4790,4792,0.45132969014626323,0.625
4790,5743,0.48018832024675406,0.7391304347826086
4790,7124,0.4217082190942188,0.8095238095238095
4792,4790,0.4714724046016232,0.30434782608695654
5599,3725,0.5526511597401211,0.85
5599,5599,0.4292846910561822,0.2857142857142857
5743,5743,0.5902391532633635,0.47368421052631576
5747,5747,0.13838570221471314,0.35294117647058826
6714,6714,0.6732318450657729,0.4375
6714,6774,0.5214749436386524,0.8947368421052632
6774,6774,0.4666907287901263,0.5714285714285714
7001,9734,0.6915155142902242,0.0
7035,2159,0.4222079652847962,0.0
7077,4313,0.43484708388670834,0.25
7124,3383,0.9989710802216447,0.9819277108433735
7124,3458,0.6950654137987963,0.7714285714285715
7124,3553,0.8476478200326872,0.8181818181818182
7124,3558,0.8018191977538041,0.7692307692307693
7124,3569,0.810793866353317,0.9508196721311475
7124,3576,0.8224267854682941,1.0
7124,3586,0.8236599184716067,0.8571428571428571
54205,836,0.35092233259430194,0.8571428571428571
7124,4318,0.6493486926501169,1.0
7124,4790,0.7912158427908916,0.9915254237288136
7124,4792,0.9998527670122531,0.9285714285714286
7124,5599,0.7638465906804697,1.0
7124,5743,0.804598731274507,1.0
7124,6347,0.9927294198926222,0.9795918367346939
7124,6352,0.6531205685609791,0.9767441860465116
7124,6356,0.7819484459358146,0.8666666666666667
7124,6401,0.767846827296635,0.9855072463768116
7124,7124,0.7938604262273568,0.821917808219178
7157,581,0.21195507830678806,0.9354838709677419
7157,596,0.5475492498358614,0.6428571428571429
7157,4193,0.3287768749336782,0.9130434782608695
7157,7157,0.5927690068176428,0.6518518518518519
7422,207,0.6740621428257486,0.9615384615384616
7422,3791,0.526998878640993,1.0
7422,7422,0.6308936758663725,0.6071428571428571
23038,6403,0.38437904083574237,1.0
54205,842,0.5420272795115207,0.9428571428571428
