origin,ncomm,AUC,ns
gw,2-3,0.6413662239089184,48
gw,2-3,0.698051948051948,36
gw,2-3,0.8787878787878788,26
gw,2-3,0.6122448979591837,35
gw,2-3,0.5880952380952381,41
gw,2-3,0.7083333333333333,30
gw,2-3,0.6909090909090909,26
gw,2-3,0.6591614906832297,51
gw,2-3,0.7867647058823529,25
gw,2-3,0.49074074074074076,21
gw,2-3,0.6247139588100686,42
gw,2-3,0.7194570135746606,30
gw,2-3,0.8311688311688312,25
gw,2-3,0.8333333333333334,11
gw,2-3,0.6595982142857142,44
gw,2-3,0.7222222222222222,42
gw,2-3,0.7817460317460317,32
gw,2-3,0.5925925925925926,30
gw,2-3,0.743006993006993,35
gw,2-3,0.9642857142857143,15
gw,2-3,0.6777777777777777,43
gw,2-3,0.6858288770053476,39
gw,2-3,0.834920634920635,36
gw,2-3,0.6712962962962963,30
gw,2-3,0.5916666666666667,31
gw,2-3,0.6428571428571429,19
gw,2-3,0.6401384083044983,34
gw,2-3,0.7246376811594204,44
gw,2-3,0.9230769230769231,17
gw,2-3,0.722,45
gw,2-3,0.5888157894736842,35
gw,2-3,0.6571428571428571,12
gw,2-3,0.7946428571428572,38
gw,2-3,0.7209090909090909,47
gw,4-,0.6666666666666667,11
gw,4-,0.6388888888888888,15
gw,4-,1.0,9
gw,4-,0.5454545454545454,12
gw,4-,0.7142857142857143,9
gw,4-,1.0,14
gw,4-,0.8666666666666667,8
gw,4-,0.7666666666666666,13
gw,4-,0.9230769230769231,14
gw,4-,0.75,17
gw,4-,0.9444444444444444,11
gw,4-,0.8333333333333334,13
gw,4-,0.5,9
gw,4-,0.9090909090909091,13
gw,4-,0.7272727272727273,12
gw,4-,0.8888888888888888,10
gw,4-,0.8250000000000001,13
gw,4-,1.0,12
gw,4-,0.625,10
gw,4-,0.9090909090909091,13
gw,4-,0.2222222222222222,10
gw,4-,0.7777777777777778,15
gw,4-,0.7916666666666666,11
gw,4-,0.8484848484848485,14
gw,4-,1.0,10
gw,4-,0.8666666666666667,13
gw,4-,0.75,16
gw,4-,0.8888888888888888,13
gw,4-,0.5333333333333333,13
gw,4-,0.8333333333333334,15
gw,4-,0.6666666666666666,13
gw,4-,1.0,7
gw,4-,0.8333333333333334,8
gw,4-,1.0,12
gw,4-,0.46153846153846156,15
gw,4-,1.0,9
gw,4-,0.7777777777777778,13
gw,4-,0.40909090909090906,13
gw,4-,0.6666666666666667,14
gw,4-,0.8181818181818181,16
gw,4-,1.0,8
gw,4-,0.9166666666666666,11
gw,4-,0.641025641025641,16
gw,4-,0.8148148148148149,12
gw,4-,0.7916666666666666,16
gw,4-,1.0,9
gw,4-,0.6071428571428572,16
gw,4-,0.7916666666666667,10
gw,4-,1.0,12
gw,4-,0.875,11
gw,4-,0.6666666666666666,12
gw,4-,1.0,8
gw,4-,0.74,15
gw,4-,0.9090909090909091,12
