source,it,fpr,tpr
gw,0,0.17159763313609466,0.3657142857142857
gw,0,0.17159763313609466,0.37142857142857144
gw,0,0.17751479289940827,0.37142857142857144
gw,0,0.17751479289940827,0.38285714285714284
gw,0,0.1952662721893491,0.38285714285714284
gw,0,0.1952662721893491,0.38857142857142857
gw,0,0.20118343195266272,0.38857142857142857
gw,0,0.20118343195266272,0.4
gw,0,0.20710059171597633,0.4
gw,0,0.20710059171597633,0.4228571428571429
gw,0,0.2485207100591716,0.4228571428571429
gw,0,0.2485207100591716,0.44
gw,0,0.28402366863905326,0.44
gw,0,0.28402366863905326,0.44571428571428573
gw,0,0.28994082840236685,0.44571428571428573
gw,0,0.28994082840236685,0.4514285714285714
gw,0,0.30177514792899407,0.4514285714285714
gw,0,0.30177514792899407,0.4742857142857143
gw,0,0.3076923076923077,0.4742857142857143
gw,0,0.3076923076923077,0.48
gw,0,0.3136094674556213,0.48
gw,0,0.3136094674556213,0.4857142857142857
gw,0,0.31952662721893493,0.4857142857142857
gw,0,0.31952662721893493,0.49142857142857144
gw,0,0.3254437869822485,0.49142857142857144
gw,0,0.3254437869822485,0.49714285714285716
gw,0,0.33727810650887574,0.49714285714285716
gw,0,0.33727810650887574,0.5028571428571429
gw,0,0.3431952662721893,0.5028571428571429
gw,0,0.3431952662721893,0.5142857142857142
gw,0,0.34911242603550297,0.5142857142857142
gw,0,0.34911242603550297,0.52
gw,0,0.35502958579881655,0.52
gw,0,0.35502958579881655,0.5314285714285715
gw,0,0.3668639053254438,0.5314285714285715
gw,0,0.3668639053254438,0.5371428571428571
gw,0,0.3905325443786982,0.5371428571428571
gw,0,0.3905325443786982,0.5485714285714286
gw,0,0.40236686390532544,0.5485714285714286
gw,0,0.40236686390532544,0.56
gw,0,0.40236686390532544,0.5714285714285714
gw,0,0.40236686390532544,0.6
gw,0,0.40828402366863903,0.6
gw,0,0.40828402366863903,0.64
gw,0,0.42011834319526625,0.64
gw,0,0.42011834319526625,0.6457142857142857
gw,0,0.4260355029585799,0.6457142857142857
gw,0,0.4260355029585799,0.6685714285714286
gw,0,0.4319526627218935,0.6685714285714286
gw,0,0.4319526627218935,0.6914285714285714
